n,k,m,distance
2.0,4.0,2.0,4.07750001
2.0,4.0,3.0,4.62400002
2.0,4.0,4.0,4.91750002
2.0,4.0,5.0,5.12500002
2.0,4.0,6.0,5.28400002
2.0,4.0,7.0,5.42200002
2.0,4.0,8.0,5.53400002
2.0,4.0,9.0,5.60300002
2.0,4.0,10.0,5.67000002
2.0,4.0,11.0,5.72800002
2.0,4.0,12.0,5.77100002
2.0,4.0,13.0,5.80850002
2.0,4.0,14.0,5.83150002
2.0,4.0,15.0,5.86550002
2.0,4.0,16.0,5.89050002
2.0,4.0,17.0,5.91300002
2.0,4.0,18.0,5.92250002
2.0,4.0,19.0,5.94200002
2.0,4.0,20.0,5.94550002
2.0,4.0,21.0,5.95400002
2.0,4.0,22.0,5.96900002
2.0,4.0,23.0,5.97250002
2.0,4.0,24.0,5.97650002
2.0,4.0,25.0,5.98000002
2.0,4.0,26.0,5.98850002
2.0,4.0,27.0,5.98600002
2.0,4.0,28.0,5.98850002
2.0,4.0,29.0,5.98900002
2.0,4.0,30.0,5.99300002
2.0,5.0,1.0,4.08800001
2.0,5.0,2.0,5.41150001
2.0,5.0,3.0,6.13000002
2.0,5.0,4.0,6.49750002
2.0,5.0,5.0,6.75300002
2.0,5.0,6.0,6.96050002
2.0,5.0,7.0,7.12900002
2.0,5.0,8.0,7.27150002
2.0,5.0,9.0,7.37150002
2.0,5.0,10.0,7.45800002
2.0,5.0,11.0,7.52400002
2.0,5.0,12.0,7.57250002
2.0,5.0,13.0,7.63250002
2.0,5.0,14.0,7.67250002
2.0,5.0,15.0,7.71100002
2.0,5.0,16.0,7.75900002
2.0,5.0,17.0,7.78300002
2.0,5.0,18.0,7.81250002
2.0,5.0,19.0,7.83450002
2.0,5.0,20.0,7.86100002
2.0,5.0,21.0,7.87950002
2.0,5.0,22.0,7.90350002
2.0,5.0,23.0,7.90650002
2.0,5.0,24.0,7.91650002
2.0,5.0,25.0,7.91750002
2.0,5.0,26.0,7.94100002
2.0,5.0,27.0,7.94650002
2.0,5.0,28.0,7.95250002
2.0,5.0,29.0,7.95500002
2.0,5.0,30.0,7.96100002
2.0,6.0,1.0,5.11400001
2.0,6.0,2.0,6.73350001
2.0,6.0,3.0,7.60950002
2.0,6.0,4.0,8.06700002
2.0,6.0,5.0,8.40350002
2.0,6.0,6.0,8.64750002
2.0,6.0,7.0,8.84400002
2.0,6.0,8.0,9.00950002
2.0,6.0,9.0,9.13750002
2.0,6.0,10.0,9.24300002
2.0,6.0,11.0,9.31800002
2.0,6.0,12.0,9.39450002
2.0,6.0,13.0,9.46250002
2.0,6.0,14.0,9.51150002
2.0,6.0,15.0,9.57300002
2.0,6.0,16.0,9.62200002
2.0,6.0,17.0,9.65700002
2.0,6.0,18.0,9.70650002
2.0,6.0,19.0,9.73100002
2.0,6.0,20.0,9.75850002
2.0,6.0,21.0,9.77950002
2.0,6.0,22.0,9.81150002
2.0,6.0,23.0,9.82450002
2.0,6.0,24.0,9.84050002
2.0,6.0,25.0,9.84950002
2.0,6.0,26.0,9.87850002
2.0,6.0,27.0,9.88250002
2.0,6.0,28.0,9.89500002
2.0,6.0,29.0,9.90450002
2.0,6.0,30.0,9.92050002
2.0,7.0,1.0,6.14400001
2.0,7.0,2.0,8.05850001
2.0,7.0,3.0,9.11500002
2.0,7.0,4.0,9.65900002
2.0,7.0,5.0,10.04350002
2.0,7.0,6.0,10.32400002
2.0,7.0,7.0,10.57050002
2.0,7.0,8.0,10.76550002
2.0,7.0,9.0,10.90750002
2.0,7.0,10.0,11.02550002
2.0,7.0,11.0,11.11300002
2.0,7.0,12.0,11.21150002
2.0,7.0,13.0,11.28100002
2.0,7.0,14.0,11.34050002
2.0,7.0,15.0,11.41450002
2.0,7.0,16.0,11.45600002
2.0,7.0,17.0,11.50700002
2.0,7.0,18.0,11.56400002
2.0,7.0,19.0,11.60250002
2.0,7.0,20.0,11.64150002
2.0,7.0,21.0,11.67350002
2.0,7.0,22.0,11.70050002
2.0,7.0,23.0,11.73000002
2.0,7.0,24.0,11.75000002
2.0,7.0,25.0,11.77100002
2.0,7.0,26.0,11.79350002
2.0,7.0,27.0,11.81300002
2.0,7.0,28.0,11.83000002
2.0,7.0,29.0,11.84000002
2.0,7.0,30.0,11.85800002
2.0,8.0,1.0,7.20900001
2.0,8.0,2.0,9.41650001
2.0,8.0,3.0,10.61850002
2.0,8.0,4.0,11.24050002
2.0,8.0,5.0,11.71500002
2.0,8.0,6.0,12.03150002
2.0,8.0,7.0,12.29800002
2.0,8.0,8.0,12.51800002
2.0,8.0,9.0,12.67850002
2.0,8.0,10.0,12.82400002
2.0,8.0,11.0,12.91350002
2.0,8.0,12.0,13.02150002
2.0,8.0,13.0,13.11000002
2.0,8.0,14.0,13.18200002
2.0,8.0,15.0,13.25350002
2.0,8.0,16.0,13.31500002
2.0,8.0,17.0,13.36950002
2.0,8.0,18.0,13.43150002
2.0,8.0,19.0,13.48000002
2.0,8.0,20.0,13.52250002
2.0,8.0,21.0,13.55850002
2.0,8.0,22.0,13.59150002
2.0,8.0,23.0,13.63150002
2.0,8.0,24.0,13.65250002
2.0,8.0,25.0,13.67850002
2.0,8.0,26.0,13.70900002
2.0,8.0,27.0,13.72750002
2.0,8.0,28.0,13.75350002
2.0,8.0,29.0,13.75800002
2.0,8.0,30.0,13.78500002
2.0,9.0,1.0,8.21300001
2.0,9.0,2.0,10.74750001
2.0,9.0,3.0,12.12950002
2.0,9.0,4.0,12.84300002
2.0,9.0,5.0,13.36250002
2.0,9.0,6.0,13.73000002
2.0,9.0,7.0,14.03750002
2.0,9.0,8.0,14.28300002
2.0,9.0,9.0,14.47900002
2.0,9.0,10.0,14.63000002
2.0,9.0,11.0,14.73400002
2.0,9.0,12.0,14.84950002
2.0,9.0,13.0,14.94650002
2.0,9.0,14.0,15.02950002
2.0,9.0,15.0,15.09650002
2.0,9.0,16.0,15.17200002
