n,k,m,distance
2.0,9.0,5.0,1.6746335
2.0,9.0,6.0,1.721204
2.0,9.0,7.0,1.7598895
2.0,9.0,8.0,1.790892
2.0,9.0,9.0,1.816769
2.0,9.0,10.0,1.83606
2.0,9.0,11.0,1.850594
2.0,9.0,12.0,1.8653985
2.0,9.0,13.0,1.8792845
2.0,9.0,14.0,1.8886125
2.0,9.0,15.0,1.9021275
2.0,9.0,16.0,1.911913
2.0,9.0,17.0,1.920291
2.0,9.0,18.0,1.930231
2.0,9.0,19.0,1.9365985
2.0,9.0,20.0,1.945178
2.0,9.0,21.0,1.9528465
2.0,9.0,22.0,1.957687
2.0,9.0,23.0,1.963417
2.0,9.0,24.0,1.9691255
2.0,9.0,25.0,1.974597
2.0,9.0,26.0,1.978796
2.0,9.0,27.0,1.985044
2.0,9.0,28.0,1.9887385
2.0,9.0,29.0,1.9923865
2.0,9.0,30.0,1.9965205
2.0,10.0,1.0,1.026382
2.0,10.0,2.0,1.3430495
2.0,10.0,3.0,1.515121
2.0,10.0,4.0,1.604329
2.0,10.0,5.0,1.67123
2.0,10.0,6.0,1.718435
2.0,10.0,7.0,1.75497
2.0,10.0,8.0,1.78669
2.0,10.0,9.0,1.8113555
2.0,10.0,10.0,1.8301975
2.0,10.0,11.0,1.844859
2.0,10.0,12.0,1.8604335
2.0,10.0,13.0,1.873652
2.0,10.0,14.0,1.882303
2.0,10.0,15.0,1.894325
2.0,10.0,16.0,1.9043945
2.0,10.0,17.0,1.912854
2.0,10.0,18.0,1.9222735
2.0,10.0,19.0,1.928702
2.0,10.0,20.0,1.936173
2.0,10.0,21.0,1.942826
2.0,10.0,22.0,1.947432
2.0,10.0,23.0,1.9544815
2.0,10.0,24.0,1.958976
2.0,10.0,25.0,1.9642075
2.0,10.0,26.0,1.967126
2.0,10.0,27.0,1.9743575
2.0,10.0,28.0,1.97681
2.0,10.0,29.0,1.981504
2.0,10.0,30.0,1.9836655
3.0,2.0,1.0,1.026395
3.0,2.0,2.0,1.566852
3.0,2.0,3.0,1.9145575
3.0,2.0,4.0,2.169964
3.0,2.0,5.0,2.3652285
3.0,2.0,6.0,2.536086
3.0,2.0,7.0,2.686771
3.0,2.0,8.0,2.8296445
3.0,2.0,9.0,2.920232
3.0,2.0,10.0,3.0071835
3.0,2.0,11.0,3.0790615
3.0,2.0,12.0,3.1448315
3.0,2.0,13.0,3.2052475
3.0,2.0,14.0,3.252837
3.0,2.0,15.0,3.303444
3.0,2.0,16.0,3.3381755
