,generation,mother,father,child,child_no,mutation
10,2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.95|0.95|0.23|0.66|0.38|0.45|0.26|0.82|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,2.0,-0.76|-0.29999999999999993|0.77|0.26|-0.16|0.34|0.21999999999999997|-0.59|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
11,2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
12,2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|30|23|21|20|2|2|2|2|2|2|3|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
13,2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.04|0.8|0.4|0.95|0.09|0.77|0.27|0.15|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,5.0,0.15|-0.15000000000000002|0.6|-0.029999999999999916|0.13|0.020000000000000018|0.20999999999999996|0.08000000000000002|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
14,2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|24|16|11|30|24|22|23|2|2|2|2|2|2|2|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-1.0|0.0|2.0|-1.0|-1.0|-3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
15,2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.22|0.33|0.09|0.35|0.44|0.35|0.86|0.18|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,7.0,-0.03|0.32|0.91|0.5700000000000001|-0.22|0.44000000000000006|-0.38|0.05000000000000002|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
16,2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26.0|25.0|15.0|11.0|30.0|23.0|21.0|20.0|2|2|2|2|2|2|2|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
17,2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|26|15|11|30|23|21|20|2|2|2|2|2|2|2|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
18,3,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26.0|25.0|15.0|11.0|30.0|23.0|21.0|20.0|2|2|2|2|2|2|2|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
19,3,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26.0|25.0|15.0|11.0|30.0|23.0|21.0|20.0|2|2|2|2|2|2|2|2,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
20,3,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|30|23|21|20|2|2|2|2|2|3|2|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
21,3,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26.0|25.0|15.0|11.0|30.0|23.0|21.0|20.0|2|2|2|2|3|2|2|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
22,3,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|25|26|17|11|30|23|24|19|2|2|2|2|2|2|2|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-1.0|-2.0|0.0|2.0|0.0|-3.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
23,3,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.52|0.03|0.9|0.59|0.22|0.31|0.28|0.88|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,6.0,-0.33|0.62|0.09999999999999998|0.33000000000000007|0.0|0.48000000000000004|0.19999999999999996|-0.65|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
24,3,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.56|0.37|0.43|0.62|0.93|0.88|0.05|0.95|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,7.0,-0.37000000000000005|0.28|0.5700000000000001|0.30000000000000004|-0.7100000000000001|-0.08999999999999997|0.43|-0.72|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
25,3,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
26,3,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
27,4,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26.0|25.0|15.0|11.0|30.0|23.0|21.0|20.0|3|2|2|2|2|2|2|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
28,4,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.23|0.87|0.42|0.64|0.72|0.89|0.2|0.39|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,2.0,-0.04000000000000001|-0.21999999999999997|0.5800000000000001|0.28|-0.5|-0.09999999999999998|0.27999999999999997|-0.16|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
29,4,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|30|23|21|20|2|2|2|3|2|2|2|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0
30,4,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.18|0.2|0.13|0.75|0.78|0.33|0.68|0.3|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,4.0,0.010000000000000009|0.45|0.87|0.17000000000000004|-0.56|0.46|-0.20000000000000007|-0.06999999999999998|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
31,4,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|30|23|22|20|2|2|2|2|2|2|2|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
32,4,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.3|0.98|0.75|0.31|0.49|0.17|0.14|0.54|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,6.0,-0.10999999999999999|-0.32999999999999996|0.25|0.6100000000000001|-0.27|0.62|0.33999999999999997|-0.31000000000000005|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
33,4,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|30|23|21|20|2|2|3|2|2|2|2|2,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
34,4,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.93|0.36|0.76|0.01|0.63|0.45|0.49|0.81|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,8.0,-0.74|0.29000000000000004|0.24|0.91|-0.41000000000000003|0.34|-0.010000000000000009|-0.5800000000000001|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
35,4,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|30|24|21|20|2|2|2|2|2|2|2|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
36,5,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.18|0.3|0.26|0.58|0.41|0.64|0.27|0.59|16|19|15|11|32|23|23|8|2|2|2|2|2|2|2|2,0.18|0.48|0.63|0.75|0.32|0.72|0.38|0.41|16|24|15|11|30|23|21|20|2|2|2|2|2|2|2|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
37,5,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.18|0.3|0.26|0.58|0.41|0.64|0.27|0.59|16|19|15|11|32|23|23|8|2|2|2|2|2|2|2|2,0.18|0.48|0.63|0.75|0.32|0.72|0.38|0.41|26|25|15|11|30|23|21|8|2|2|2|3|2|2|2|2,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0
38,5,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.18|0.3|0.26|0.58|0.41|0.64|0.27|0.59|16|19|15|11|32|23|23|8|2|2|2|2|2|2|2|2,0.18|0.48|0.63|0.75|0.32|0.72|0.38|0.41|26|25|15|11|30|23|23|8|3|3|2|2|3|2|2|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|-1.0|-1.0|0.0|0.0|-1.0|0.0|0.0|0.0
39,5,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.18|0.3|0.26|0.58|0.41|0.64|0.27|0.59|16|19|15|11|32|23|23|8|2|2|2|2|2|2|2|2,0.18|0.48|0.63|0.75|0.32|0.72|0.38|0.41|18|26|17|12|30|26|21|19|2|2|2|2|2|2|2|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|-1.0|-2.0|-1.0|2.0|-3.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
40,5,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.18|0.3|0.26|0.58|0.41|0.64|0.27|0.59|16|19|15|11|32|23|23|8|2|2|2|2|2|2|2|2,0.18|0.48|0.63|0.75|0.32|0.72|0.38|0.41|16|19|15|11|30|23|23|20|3|2|2|2|2|2|3|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
41,5,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.18|0.3|0.26|0.58|0.41|0.64|0.27|0.59|16|19|15|11|32|23|23|8|2|2|2|2|2|2|2|2,0.28|0.21|0.74|0.89|0.73|0.13|0.06|0.99|26|25|15|11|30|23|23|8|2|2|2|2|2|2|2|2,6.0,-0.10000000000000003|0.27|-0.10999999999999999|-0.14|-0.41|0.59|0.32|-0.5800000000000001|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
42,5,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.18|0.3|0.26|0.58|0.41|0.64|0.27|0.59|16|19|15|11|32|23|23|8|2|2|2|2|2|2|2|2,0.18|0.48|0.63|0.75|0.32|0.72|0.38|0.41|26|25|15|11|30|24|23|8|2|2|2|2|2|2|3|2,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
43,5,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.18|0.3|0.26|0.58|0.41|0.64|0.27|0.59|16|19|15|11|32|23|23|8|2|2|2|2|2|2|2|2,0.18|0.48|0.63|0.75|0.32|0.72|0.38|0.41|15|25|15|11|30|23|21|8|2|2|2|2|3|2|2|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
44,5,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.18|0.3|0.26|0.58|0.41|0.64|0.27|0.59|16|19|15|11|32|23|23|8|2|2|2|2|2|2|2|2,0.18|0.48|0.63|0.75|0.32|0.72|0.38|0.41|26|25|15|12|30|23|21|20|2|3|2|2|2|2|2|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|2.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
