,generation,mother,father,child,child_no,mutation
22,4,0.64|0.93|0.27|0.02|18|7|7|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.13|0.41|0.09|0.97|18|7|7|13|4|10|2|4,5.0,0.51|0.52|0.18000000000000002|-0.95|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
23,4,0.64|0.93|0.27|0.02|18|7|7|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
24,4,0.64|0.93|0.27|0.02|18|7|7|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|21|7|6|13|4|10|2|4,7.0,0.0|0.0|0.0|0.0|-3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
25,4,0.64|0.93|0.27|0.02|18|7|7|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|19|7|7|13|4|10|2|4,8.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
26,4,0.64|0.93|0.27|0.02|18|7|7|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.32|0.19|0.75|0.11|18|7|7|13|4|10|2|4,9.0,0.32|0.74|-0.48|-0.09|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
27,5,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.41|0.51|0.22|0.04|18|7|7|13|3|10|2|4,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
28,5,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.41|0.51|0.22|0.04|12|6|6|6|2|2|4|4,2.0,0.0|0.0|0.0|0.0|-3.0|1.0|1.0|-3.0|0.0|0.0|0.0|0.0
29,5,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.94|0.31|0.9|0.51|18|7|8|3|2|2|4|2,3.0,-0.53|0.2|-0.68|-0.47000000000000003|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
30,5,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.41|0.51|0.22|0.04|18|7|7|3|3|10|3|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|-1.0|0.0
31,5,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.41|0.51|0.22|0.04|18|7|7|13|2|2|2|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
32,5,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,6.0,-0.39000000000000007|0.46|-0.43000000000000005|-0.9299999999999999|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
33,5,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.41|0.51|0.22|0.04|9|7|8|13|2|10|2|4,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
34,5,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.41|0.51|0.22|0.04|18|7|7|3|3|10|4|4,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
35,5,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.41|0.51|0.22|0.04|9|7|8|3|3|10|2|4,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
36,6,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.64|0.93|0.27|0.02|18|7|7|13|3|9|3|3,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-1.0|1.0
37,6,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,2.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
38,6,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.64|0.93|0.27|0.02|18|7|6|13|3|9|2|4,3.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0
39,6,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.64|0.93|0.27|0.02|19|7|7|13|4|10|2|4,4.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
40,6,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.64|0.93|0.27|0.02|18|7|7|13|4|10|3|4,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
41,6,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.46|0.24|0.81|0.11|18|7|7|13|3|10|2|4,6.0,0.18|0.6900000000000001|-0.54|-0.09|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
42,6,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.22|0.81|0.78|0.22|18|7|7|13|3|10|2|4,7.0,0.42000000000000004|0.12|-0.51|-0.2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
43,6,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.64|0.93|0.27|0.02|17|7|7|13|4|10|2|4,8.0,0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
44,6,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,0.64|0.93|0.27|0.02|18|7|8|13|3|10|3|4,9.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|-1.0|0.0
45,7,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|17|7|7|13|4|10|2|4,0.72|0.49|0.46|0.5|9|7|7|3|5|10|2|4,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
46,7,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|17|7|7|13|4|10|2|4,0.72|0.49|0.46|0.5|17|7|7|3|4|2|3|4,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
47,7,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|17|7|7|13|4|10|2|4,0.72|0.49|0.46|0.5|17|7|7|13|4|2|2|4,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
48,7,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|17|7|7|13|4|10|2|4,0.72|0.49|0.46|0.5|17|7|7|13|4|10|2|4,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
49,7,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|17|7|7|13|4|10|2|4,0.72|0.49|0.46|0.5|9|7|8|13|2|3|2|4,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
50,7,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|17|7|7|13|4|10|2|4,0.56|0.62|0.9|0.73|9|7|7|13|4|2|2|4,6.0,0.15999999999999992|-0.13|-0.44|-0.22999999999999998|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
51,7,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|17|7|7|13|4|10|2|4,0.42|0.01|0.27|0.75|17|7|8|3|4|2|2|4,7.0,0.3|0.48|0.19|-0.25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
52,7,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|17|7|7|13|4|10|2|4,0.72|0.49|0.46|0.5|9|7|8|3|5|10|2|4,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
53,7,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|17|7|7|13|4|10|2|4,0.72|0.49|0.46|0.5|17|7|7|13|3|9|2|4,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0
54,8,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.22|0.42|0.87|0.02|9|7|8|13|4|2|4|2,1.0,0.18999999999999997|0.09000000000000002|-0.65|0.02|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
55,8,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.41|0.51|0.22|0.04|21|6|7|4|4|2|4|4,2.0,0.0|0.0|0.0|0.0|-3.0|1.0|0.0|-1.0|0.0|0.0|0.0|0.0
56,8,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.41|0.51|0.22|0.04|18|7|8|13|3|2|4|4,3.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|-1.0|0.0|0.0|0.0
57,8,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.41|0.51|0.22|0.04|18|7|8|3|4|10|2|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
58,8,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.41|0.51|0.22|0.04|19|7|7|3|3|2|2|4,5.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
59,8,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.41|0.51|0.22|0.04|18|7|7|3|4|2|3|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
60,8,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.41|0.51|0.22|0.04|18|7|7|3|3|10|2|2,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
61,8,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.45|0.59|0.36|0.01|9|7|8|3|4|2|4|4,8.0,-0.040000000000000036|-0.07999999999999996|-0.13999999999999999|0.03|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
62,8,0.18|0.09|0.16|0.06|9|7|8|3|2|2|4|2,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,0.41|0.51|0.22|0.04|18|7|7|13|3|10|2|3,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0
63,9,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.42|0.01|0.27|0.75|17|7|8|3|4|2|2|4,0.34|0.13|0.83|0.51|17|7|8|3|3|2|2|4,1.0,0.19|0.33999999999999997|-0.5599999999999999|-0.13|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
64,9,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.42|0.01|0.27|0.75|17|7|8|3|4|2|2|4,0.53|0.47|0.27|0.38|17|7|8|13|5|2|2|3,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|1.0
65,9,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.42|0.01|0.27|0.75|17|7|8|3|4|2|2|4,0.34|0.84|0.66|0.05|17|7|8|3|4|2|2|4,3.0,0.19|-0.37|-0.39|0.33|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
66,9,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.42|0.01|0.27|0.75|17|7|8|3|4|2|2|4,0.38|0.01|0.03|0.55|18|7|8|13|4|2|2|4,4.0,0.15000000000000002|0.45999999999999996|0.24000000000000002|-0.17000000000000004|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
67,9,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.42|0.01|0.27|0.75|17|7|8|3|4|2|2|4,0.53|0.47|0.27|0.38|19|7|8|13|4|10|2|4,5.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
68,9,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.42|0.01|0.27|0.75|17|7|8|3|4|2|2|4,0.53|0.47|0.27|0.38|19|7|8|13|3|2|2|4,6.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
69,9,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.42|0.01|0.27|0.75|17|7|8|3|4|2|2|4,0.31|0.87|0.86|0.81|17|7|8|3|4|10|2|4,7.0,0.22000000000000003|-0.4|-0.59|-0.43000000000000005|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
70,9,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.42|0.01|0.27|0.75|17|7|8|3|4|2|2|4,0.53|0.47|0.27|0.38|16|7|8|3|3|2|2|4,8.0,0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
71,9,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.42|0.01|0.27|0.75|17|7|8|3|4|2|2|4,0.53|0.47|0.27|0.38|17|8|8|13|3|10|2|4,9.0,0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
72,10,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.72|0.49|0.46|0.5|10|7|8|3|3|2|2|4,1.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
73,10,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.0|0.58|0.06|0.84|9|7|8|13|2|10|2|4,2.0,0.72|-0.08999999999999997|0.4|-0.33999999999999997|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
74,10,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.72|0.49|0.46|0.5|9|6|8|3|2|2|2|4,3.0,0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0
75,10,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.78|0.62|0.64|0.49|18|7|8|3|3|10|2|4,4.0,-0.06000000000000005|-0.13|-0.18|0.010000000000000009|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
76,10,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.72|0.49|0.46|0.5|18|7|8|13|2|10|3|4,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
77,10,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.72|0.49|0.46|0.5|10|7|8|13|2|10|2|4,6.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
78,10,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.47|0.09|0.82|0.24|9|7|8|13|3|2|2|4,7.0,0.25|0.4|-0.35999999999999993|0.26|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
79,10,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.75|0.31|0.0|0.77|18|7|8|13|3|10|2|4,8.0,-0.030000000000000027|0.18|0.46|-0.27|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
80,10,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.64|0.93|0.27|0.02|18|7|8|13|3|10|2|4,0.72|0.49|0.46|0.5|9|7|9|13|2|10|2|4,9.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
81,11,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.34|0.13|0.83|0.51|17|7|8|3|3|2|2|4,0.57|0.09|0.74|0.74|17|7|8|3|2|2|3|4,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
82,11,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.34|0.13|0.83|0.51|17|7|8|3|3|2|2|4,0.57|0.09|0.74|0.74|9|6|10|5|3|2|2|4,2.0,0.0|0.0|0.0|0.0|0.0|1.0|-2.0|-2.0|0.0|0.0|0.0|0.0
83,11,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.34|0.13|0.83|0.51|17|7|8|3|3|2|2|4,0.57|0.09|0.74|0.74|17|7|7|3|2|2|2|4,3.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0
84,11,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.34|0.13|0.83|0.51|17|7|8|3|3|2|2|4,0.57|0.09|0.74|0.74|9|7|9|3|3|2|2|4,4.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
85,11,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.34|0.13|0.83|0.51|17|7|8|3|3|2|2|4,0.57|0.09|0.74|0.74|17|7|8|3|3|2|3|3,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|1.0
86,11,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.34|0.13|0.83|0.51|17|7|8|3|3|2|2|4,0.57|0.09|0.74|0.74|10|7|8|3|3|2|2|4,6.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
87,11,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.34|0.13|0.83|0.51|17|7|8|3|3|2|2|4,0.7|0.15|0.89|0.72|9|7|8|3|2|2|2|4,7.0,-0.13|-0.06|-0.15000000000000002|0.020000000000000018|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
88,11,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.34|0.13|0.83|0.51|17|7|8|3|3|2|2|4,0.57|0.09|0.74|0.74|18|7|8|3|2|2|2|4,8.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
89,11,0.8|0.05|0.65|0.97|9|7|8|3|2|2|2|4,0.34|0.13|0.83|0.51|17|7|8|3|3|2|2|4,0.57|0.09|0.74|0.74|9|7|9|3|2|2|2|4,9.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|1.0|0.0|0.0|0.0
