,generation,mother,father,child,child_no,mutation
13,2,0.88|0.7|0.58|0.42|0.37|0.3|12.0|29.0|21.0|10.0|3.0|21.0|5|6|3|3|6|6,0.82|0.02|0.47|0.19|0.51|0.99|9|14|25|15|8|16|2|2|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|11.0|29.0|24.0|14.0|10.0|23.0|5|6|3|3|5|6,5.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|1.0|-2.0|-2.0|0.0|0.0|0.0|0.0|0.0|0.0
14,2,0.88|0.7|0.58|0.42|0.37|0.3|12.0|29.0|21.0|10.0|3.0|21.0|5|6|3|3|6|6,0.82|0.02|0.47|0.19|0.51|0.99|9|14|25|15|8|16|2|2|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|9.0|14.0|21.0|15.0|4.0|21.0|2|6|7|8|6|6,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
15,2,0.88|0.7|0.58|0.42|0.37|0.3|12.0|29.0|21.0|10.0|3.0|21.0|5|6|3|3|6|6,0.82|0.02|0.47|0.19|0.51|0.99|9|14|25|15|8|16|2|2|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|9.0|29.0|25.0|14.0|8.0|16.0|5|2|7|8|5|6,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
16,2,0.88|0.7|0.58|0.42|0.37|0.3|12.0|29.0|21.0|10.0|3.0|21.0|5|6|3|3|6|6,0.82|0.02|0.47|0.19|0.51|0.99|9|14|25|15|8|16|2|2|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|12.0|14.0|21.0|10.0|3.0|16.0|2|5|8|2|4|7,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-1.0|1.0|1.0|-1.0
17,2,0.88|0.7|0.58|0.42|0.37|0.3|12.0|29.0|21.0|10.0|3.0|21.0|5|6|3|3|6|6,0.82|0.02|0.47|0.19|0.51|0.99|9|14|25|15|8|16|2|2|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|12.0|29.0|21.0|15.0|3.0|16.0|5|3|7|8|5|6,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0
18,3,0.85|0.36|0.52|0.3|0.44|0.64|12.0|29.0|21.0|15.0|3.0|16.0|5|3|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|9.0|29.0|21.0|15.0|3.0|16.0|2|6|4|3|5|6,0.06|0.1|0.3|0.93|0.8|0.73|12.0|29.0|21.0|15.0|3.0|16.0|2|6|4|8|5|6,1.0,0.79|0.26|0.22000000000000003|-0.6300000000000001|-0.36000000000000004|-0.08999999999999997|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
19,3,0.85|0.36|0.52|0.3|0.44|0.64|12.0|29.0|21.0|15.0|3.0|16.0|5|3|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|9.0|29.0|21.0|15.0|3.0|16.0|2|6|4|3|5|6,0.85|0.36|0.52|0.3|0.44|0.64|9.0|29.0|23.0|18.0|3.0|18.0|2|6|4|8|5|6,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|-3.0|0.0|-2.0|0.0|0.0|0.0|0.0|0.0|0.0
20,3,0.85|0.36|0.52|0.3|0.44|0.64|12.0|29.0|21.0|15.0|3.0|16.0|5|3|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|9.0|29.0|21.0|15.0|3.0|16.0|2|6|4|3|5|6,0.85|0.36|0.52|0.3|0.44|0.64|11.0|29.0|21.0|15.0|3.0|16.0|5|4|7|3|5|6,3.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0
21,3,0.85|0.36|0.52|0.3|0.44|0.64|12.0|29.0|21.0|15.0|3.0|16.0|5|3|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|9.0|29.0|21.0|15.0|3.0|16.0|2|6|4|3|5|6,0.85|0.36|0.52|0.3|0.44|0.64|13.0|29.0|21.0|15.0|3.0|16.0|2|3|7|3|5|6,4.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
22,3,0.85|0.36|0.52|0.3|0.44|0.64|12.0|29.0|21.0|15.0|3.0|16.0|5|3|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|9.0|29.0|21.0|15.0|3.0|16.0|2|6|4|3|5|6,0.75|0.94|0.79|0.1|0.04|0.77|9.0|29.0|21.0|15.0|3.0|16.0|2|3|7|3|5|6,5.0,0.09999999999999998|-0.58|-0.27|0.19999999999999998|0.4|-0.13|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
23,3,0.85|0.36|0.52|0.3|0.44|0.64|12.0|29.0|21.0|15.0|3.0|16.0|5|3|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|9.0|29.0|21.0|15.0|3.0|16.0|2|6|4|3|5|6,0.79|0.62|0.63|0.41|0.01|0.08|9.0|29.0|21.0|15.0|3.0|16.0|2|6|4|3|5|6,6.0,0.05999999999999994|-0.26|-0.10999999999999999|-0.10999999999999999|0.43|0.56|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
24,3,0.85|0.36|0.52|0.3|0.44|0.64|12.0|29.0|21.0|15.0|3.0|16.0|5|3|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|9.0|29.0|21.0|15.0|3.0|16.0|2|6|4|3|5|6,0.26|0.74|0.52|0.46|0.57|0.57|9.0|29.0|21.0|15.0|3.0|16.0|5|6|7|3|5|6,7.0,0.59|-0.38|0.0|-0.16000000000000003|-0.12999999999999995|0.07000000000000006|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
25,3,0.85|0.36|0.52|0.3|0.44|0.64|12.0|29.0|21.0|15.0|3.0|16.0|5|3|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|9.0|29.0|21.0|15.0|3.0|16.0|2|6|4|3|5|6,0.85|0.36|0.52|0.3|0.44|0.64|9.0|29.0|21.0|15.0|3.0|16.0|2|3|5|8|5|6,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
26,3,0.85|0.36|0.52|0.3|0.44|0.64|12.0|29.0|21.0|15.0|3.0|16.0|5|3|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|9.0|29.0|21.0|15.0|3.0|16.0|2|6|4|3|5|6,0.85|0.36|0.52|0.3|0.44|0.64|12.0|30.0|21.0|15.0|3.0|16.0|5|3|7|7|5|6,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
27,4,0.26|0.74|0.52|0.46|0.57|0.57|9.0|29.0|21.0|15.0|3.0|16.0|5|6|7|3|5|6,0.06|0.1|0.3|0.93|0.8|0.73|12.0|29.0|21.0|15.0|3.0|16.0|2|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|5|6|7|3|4|6,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
28,4,0.26|0.74|0.52|0.46|0.57|0.57|9.0|29.0|21.0|15.0|3.0|16.0|5|6|7|3|5|6,0.06|0.1|0.3|0.93|0.8|0.73|12.0|29.0|21.0|15.0|3.0|16.0|2|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|5|7|7|8|5|6,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0
29,4,0.26|0.74|0.52|0.46|0.57|0.57|9.0|29.0|21.0|15.0|3.0|16.0|5|6|7|3|5|6,0.06|0.1|0.3|0.93|0.8|0.73|12.0|29.0|21.0|15.0|3.0|16.0|2|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|8.0|29.0|21.0|15.0|3.0|16.0|2|6|4|8|5|6,3.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
30,4,0.26|0.74|0.52|0.46|0.57|0.57|9.0|29.0|21.0|15.0|3.0|16.0|5|6|7|3|5|6,0.06|0.1|0.3|0.93|0.8|0.73|12.0|29.0|21.0|15.0|3.0|16.0|2|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|2|6|4|9|5|6,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
31,4,0.26|0.74|0.52|0.46|0.57|0.57|9.0|29.0|21.0|15.0|3.0|16.0|5|6|7|3|5|6,0.06|0.1|0.3|0.93|0.8|0.73|12.0|29.0|21.0|15.0|3.0|16.0|2|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|21.0|16.0|3.0|16.0|2|6|8|3|5|6,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
32,4,0.26|0.74|0.52|0.46|0.57|0.57|9.0|29.0|21.0|15.0|3.0|16.0|5|6|7|3|5|6,0.06|0.1|0.3|0.93|0.8|0.73|12.0|29.0|21.0|15.0|3.0|16.0|2|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|28.0|21.0|15.0|3.0|16.0|5|6|4|8|5|6,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
33,4,0.26|0.74|0.52|0.46|0.57|0.57|9.0|29.0|21.0|15.0|3.0|16.0|5|6|7|3|5|6,0.06|0.1|0.3|0.93|0.8|0.73|12.0|29.0|21.0|15.0|3.0|16.0|2|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|22.0|15.0|3.0|16.0|2|6|5|8|5|6,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
34,4,0.26|0.74|0.52|0.46|0.57|0.57|9.0|29.0|21.0|15.0|3.0|16.0|5|6|7|3|5|6,0.06|0.1|0.3|0.93|0.8|0.73|12.0|29.0|21.0|15.0|3.0|16.0|2|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|11.0|30.0|23.0|14.0|3.0|15.0|5|6|7|8|5|6,8.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|-1.0|-2.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
35,4,0.26|0.74|0.52|0.46|0.57|0.57|9.0|29.0|21.0|15.0|3.0|16.0|5|6|7|3|5|6,0.06|0.1|0.3|0.93|0.8|0.73|12.0|29.0|21.0|15.0|3.0|16.0|2|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|21.0|15.0|3.0|16.0|3|7|4|8|5|7,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|-1.0|0.0|0.0|0.0|-1.0
36,5,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|5|7|7|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|22.0|15.0|3.0|16.0|2|6|5|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|5|7|6|8|5|6,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
37,5,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|5|7|7|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|22.0|15.0|3.0|16.0|2|6|5|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|3|7|4|7|6|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|1.0|1.0|-1.0|1.0
38,5,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|5|7|7|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|22.0|15.0|3.0|16.0|2|6|5|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|22.0|15.0|3.0|16.0|5|6|6|8|5|6,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
39,5,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|5|7|7|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|22.0|15.0|3.0|16.0|2|6|5|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|2|7|5|8|5|6,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
40,5,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|5|7|7|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|22.0|15.0|3.0|16.0|2|6|5|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|23.0|16.0|6.0|19.0|2|7|7|8|5|6,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|-1.0|-3.0|-3.0|0.0|0.0|0.0|0.0|0.0|0.0
41,5,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|5|7|7|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|22.0|15.0|3.0|16.0|2|6|5|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|23.0|15.0|3.0|16.0|2|6|5|8|5|6,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
42,5,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|5|7|7|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|22.0|15.0|3.0|16.0|2|6|5|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|22.0|14.0|3.0|16.0|2|6|5|9|5|6,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
43,5,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|5|7|7|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|22.0|15.0|3.0|16.0|2|6|5|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|23.0|15.0|3.0|16.0|5|6|5|8|5|6,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
44,5,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|5|7|7|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|9.0|29.0|22.0|15.0|3.0|16.0|2|6|5|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|22.0|16.0|3.0|16.0|2|6|5|9|5|6,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
45,6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|28.0|21.0|15.0|3.0|16.0|5|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|3|7|4|7|6|5,0.16|0.42|0.41|0.7|0.68|0.65|11.0|29.0|21.0|15.0|3.0|16.0|3|6|4|7|5|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
46,6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|28.0|21.0|15.0|3.0|16.0|5|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|3|7|4|7|6|5,0.16|0.42|0.41|0.7|0.68|0.65|13.0|29.0|21.0|15.0|3.0|16.0|3|7|4|6|6|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
47,6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|28.0|21.0|15.0|3.0|16.0|5|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|3|7|4|7|6|5,0.16|0.42|0.41|0.7|0.68|0.65|12.0|28.0|21.0|14.0|3.0|16.0|3|6|4|7|6|6,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
48,6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|28.0|21.0|15.0|3.0|16.0|5|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|3|7|4|7|6|5,0.16|0.42|0.41|0.7|0.68|0.65|12.0|28.0|21.0|15.0|3.0|16.0|5|7|4|7|5|6,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
49,6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|28.0|21.0|15.0|3.0|16.0|5|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|3|7|4|7|6|5,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|5|6|4|8|6|5,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
50,6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|28.0|21.0|15.0|3.0|16.0|5|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|3|7|4|7|6|5,0.74|0.46|0.9|0.63|0.25|0.96|12.0|29.0|21.0|15.0|3.0|16.0|3|6|4|7|6|5,6.0,-0.58|-0.040000000000000036|-0.49000000000000005|0.06999999999999995|0.43000000000000005|-0.30999999999999994|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
51,6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|28.0|21.0|15.0|3.0|16.0|5|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|3|7|4|7|6|5,0.16|0.42|0.41|0.7|0.68|0.65|13.0|28.0|21.0|15.0|3.0|16.0|3|6|4|8|5|5,7.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
52,6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|28.0|21.0|15.0|3.0|16.0|5|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|3|7|4|7|6|5,0.16|0.42|0.41|0.7|0.68|0.65|13.0|28.0|21.0|15.0|3.0|16.0|3|7|4|7|6|5,8.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
53,6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|28.0|21.0|15.0|3.0|16.0|5|6|4|8|5|6,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|3|7|4|7|6|5,0.16|0.42|0.41|0.7|0.68|0.65|12.0|29.0|21.0|15.0|3.0|16.0|5|7|4|8|6|6,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
