,generation,mother,father,child,child_no,mutation
32,17,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|14.0|7.0|6.0|4.0|3|7|4|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
33,17,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.78|0.17|0.32|0.63|14.0|7.0|5.0|4.0|3|7|4|5,2.0,0.04|0.62|-0.02|0.14|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
34,18,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
35,18,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|14.0|7.0|6.0|4.0|3|7|4|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
36,19,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|15.0|7.0|5.0|3.0|3|7|4|5,1.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0
37,19,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|16.0|11.0|7.0|5.0|3|6|4|5,2.0,0.0|0.0|0.0|0.0|-2.0|-4.0|-2.0|-1.0|0.0|0.0|0.0|0.0
38,20,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|5|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|14.0|7.0|6.0|4.0|3|6|5|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
39,20,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|5|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|5|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
40,21,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|5|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,1.0,0.35|0.23|0.07|-0.08|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
41,21,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|5|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|15.0|7.0|5.0|4.0|3|6|4|5,2.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
42,22,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|4|5,0.64|0.68|0.26|0.81|18.0|6.0|8.0|5.0|3|6|4|5,1.0,0.0|0.0|0.0|0.0|-4.0|1.0|-3.0|-1.0|0.0|0.0|0.0|0.0
43,22,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|4|5,0.64|0.68|0.26|0.81|14.0|7.0|5.0|4.0|4|7|3|6,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|-1.0|1.0|-1.0
44,23,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|5|5,0.64|0.68|0.26|0.81|14.0|7.0|5.0|3.0|3|6|4|6,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|-1.0
45,23,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|5|5,0.68|0.17|0.51|0.2|14.0|7.0|5.0|4.0|3|6|5|5,2.0,-0.04|0.51|-0.25|0.61|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
46,24,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|5|5,0.78|0.23|0.05|0.0|14.0|7.0|5.0|4.0|3|6|5|5,1.0,-0.14|0.45|0.21|0.81|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
47,24,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|5|5,0.64|0.68|0.26|0.81|14.0|7.0|5.0|4.0|3|6|5|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
48,25,0.64|0.68|0.26|0.81|14.0|7.0|5.0|4.0|3|6|5|5,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
49,25,0.64|0.68|0.26|0.81|14.0|7.0|5.0|4.0|3|6|5|5,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.22|0.92|0.62|0.45|14.0|7.0|5.0|4.0|3|6|4|5,2.0,0.33|-0.3|-0.38|0.38|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
50,26,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.51|0.59|0.24|0.84|13.0|7.0|5.0|4.0|4|6|5|5,1.0,0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
51,26,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.51|0.59|0.24|0.84|14.0|7.0|5.0|3.0|3|6|5|6,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|-1.0
52,27,0.64|0.68|0.26|0.81|14.0|7.0|5.0|4.0|3|6|5|5,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.55|0.62|0.24|0.83|14.0|7.0|4.0|4.0|3|6|6|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|-1.0|0.0
53,27,0.64|0.68|0.26|0.81|14.0|7.0|5.0|4.0|3|6|5|5,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.55|0.62|0.24|0.83|15.0|8.0|5.0|5.0|3|6|5|5,2.0,0.0|0.0|0.0|0.0|-1.0|-1.0|0.0|-1.0|0.0|0.0|0.0|0.0
54,28,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.51|0.59|0.24|0.84|14.0|8.0|5.0|4.0|3|6|4|5,1.0,0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
55,28,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.51|0.59|0.24|0.84|14.0|7.0|4.0|4.0|3|6|6|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|-1.0|0.0
56,29,0.64|0.68|0.26|0.81|14.0|7.0|5.0|4.0|3|6|5|5,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|4|6|4|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
57,29,0.64|0.68|0.26|0.81|14.0|7.0|5.0|4.0|3|6|5|5,0.47|0.56|0.23|0.85|14.0|7.0|5.0|4.0|3|6|4|5,0.55|0.62|0.24|0.83|14.0|6.0|5.0|4.0|3|7|4|5,2.0,0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|-1.0|0.0|0.0
58,30,0.64|0.68|0.26|0.81|14.0|7.0|5.0|4.0|3|6|5|5,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,0.6|0.65|0.25|0.82|14.0|8.0|5.0|4.0|3|6|5|5,1.0,0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
59,30,0.64|0.68|0.26|0.81|14.0|7.0|5.0|4.0|3|6|5|5,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,0.19|0.28|0.94|0.36|14.0|7.0|5.0|4.0|3|6|5|5,2.0,0.41|0.37|-0.69|0.46|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
60,31,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,0.6|0.65|0.25|0.82|14.0|8.0|5.0|4.0|3|6|5|5,0.57|0.64|0.24|0.82|14.0|7.0|6.0|4.0|3|6|5|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
61,31,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,0.6|0.65|0.25|0.82|14.0|8.0|5.0|4.0|3|6|5|5,0.57|0.64|0.24|0.82|14.0|7.0|5.0|4.0|3|6|5|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
62,32,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,0.57|0.64|0.24|0.82|14.0|7.0|5.0|4.0|3|6|5|5,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-1.0|0.0|-1.0
63,32,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,0.57|0.64|0.24|0.82|14.0|7.0|5.0|4.0|3|6|5|5,0.56|0.63|0.24|0.82|16.0|9.0|6.0|3.0|3|6|5|5,2.0,0.0|0.0|0.0|0.0|-2.0|-2.0|-1.0|1.0|0.0|0.0|0.0|0.0
64,33,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,0.56|0.62|0.24|0.82|16.0|6.0|8.0|5.0|2|7|5|6,1.0,0.0|0.0|0.0|0.0|-2.0|1.0|-3.0|-1.0|0.0|0.0|0.0|0.0
65,33,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,0.56|0.62|0.24|0.82|14.0|7.0|4.0|4.0|2|7|6|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|-1.0|0.0
66,34,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
67,34,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.55|0.62|0.24|0.83|14.0|7.0|5.0|4.0|3|6|5|5,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|3|6|5|6,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
68,35,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|3|6|5|6,0.36|0.91|0.57|0.23|14.0|7.0|5.0|4.0|2|6|5|6,1.0,0.2|-0.29|-0.33|0.59|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
69,35,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|3|6|5|6,0.56|0.62|0.24|0.82|14.0|8.0|5.0|4.0|2|6|5|6,2.0,0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
70,36,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|5,0.56|0.62|0.24|0.82|14.0|8.0|5.0|4.0|2|6|5|6,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|2|5|6|6,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-1.0|-1.0
71,36,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|5,0.56|0.62|0.24|0.82|14.0|8.0|5.0|4.0|2|6|5|6,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,2.0,0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
72,37,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.47|0.81|0.75|0.94|14.0|7.0|5.0|4.0|2|7|5|6,1.0,0.09|-0.19|-0.51|-0.12|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
73,37,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
74,38,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.56|0.62|0.24|0.82|14.0|8.0|5.0|4.0|2|7|5|6,1.0,0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
75,38,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.94|0.64|0.66|0.12|14.0|7.0|5.0|4.0|2|7|5|6,2.0,-0.38|-0.02|-0.42|0.7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
76,39,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.47|0.81|0.75|0.94|14.0|7.0|5.0|4.0|2|7|5|6,0.52|0.72|0.5|0.88|14.0|7.0|5.0|4.0|2|7|4|6,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
77,39,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.47|0.81|0.75|0.94|14.0|7.0|5.0|4.0|2|7|5|6,0.52|0.72|0.5|0.88|16.0|9.0|5.0|7.0|2|7|5|6,2.0,0.0|0.0|0.0|0.0|-2.0|-2.0|0.0|-3.0|0.0|0.0|0.0|0.0
78,40,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.56|0.62|0.24|0.82|14.0|6.0|7.0|4.0|2|7|5|6,1.0,0.0|0.0|0.0|0.0|0.0|1.0|-2.0|0.0|0.0|0.0|0.0|0.0
79,40,0.56|0.63|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|6,0.56|0.62|0.24|0.82|14.0|7.0|5.0|4.0|2|7|5|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0
