n,k,m,distance
2,6,6,8.64750002
2,6,7,8.84400002
2,6,8,9.00950002
2,6,9,9.13750002
2,6,10,9.24300002
2,6,11,9.31800002
2,6,12,9.39450002
2,6,13,9.46250002
2,6,14,9.51150002
2,6,15,9.57300002
2,6,16,9.62200002
2,6,17,9.65700002
2,6,18,9.70650002
2,6,19,9.73100002
2,6,20,9.75850002
2,6,21,9.77950002
2,6,22,9.81150002
2,6,23,9.82450002
2,6,24,9.84050002
2,6,25,9.84950002
2,6,26,9.87850002
2,6,27,9.88250002
2,6,28,9.89500002
2,6,29,9.90450002
2,6,30,9.92050002
2,7,1,6.14400001
2,7,2,8.05850001
2,7,3,9.11500002
2,7,4,9.65900002
2,7,5,10.04350002
2,7,6,10.32400002
2,7,7,10.57050002
2,7,8,10.76550002
2,7,9,10.90750002
2,7,10,11.02550002
2,7,11,11.11300002
2,7,12,11.21150002
2,7,13,11.28100002
2,7,14,11.34050002
2,7,15,11.41450002
2,7,16,11.45600002
2,7,17,11.50700002
2,7,18,11.56400002
2,7,19,11.60250002
2,7,20,11.64150002
2,7,21,11.67350002
2,7,22,11.70050002
2,7,23,11.73000002
2,7,24,11.75000002
2,7,25,11.77100002
2,7,26,11.79350002
2,7,27,11.81300002
2,7,28,11.83000002
2,7,29,11.84000002
2,7,30,11.85800002
2,8,1,7.20900001
2,8,2,9.41650001
2,8,3,10.61850002
2,8,4,11.24050002
2,8,5,11.71500002
2,8,6,12.03150002
2,8,7,12.29800002
2,8,8,12.51800002
2,8,9,12.67850002
2,8,10,12.82400002
2,8,11,12.91350002
2,8,12,13.02150002
2,8,13,13.11000002
2,8,14,13.18200002
2,8,15,13.25350002
2,8,16,13.31500002
2,8,17,13.36950002
2,8,18,13.43150002
2,8,19,13.48000002
2,8,20,13.52250002
2,8,21,13.55850002
2,8,22,13.59150002
2,8,23,13.63150002
2,8,24,13.65250002
2,8,25,13.67850002
2,8,26,13.70900002
2,8,27,13.72750002
2,8,28,13.75350002
2,8,29,13.75800002
2,8,30,13.78500002
2,9,1,8.21300001
2,9,2,10.74750001
2,9,3,12.12950002
2,9,4,12.84300002
2,9,5,13.36250002
2,9,6,13.73000002
2,9,7,14.03750002
2,9,8,14.28300002
2,9,9,14.47900002
2,9,10,14.63000002
2,9,11,14.73400002
2,9,12,14.84950002
2,9,13,14.94650002
2,9,14,15.02950002
2,9,15,15.09650002
2,9,16,15.17200002
2,9,17,15.23500002
2,9,18,15.30200002
2,9,19,15.35050002
2,9,20,15.40300002
2,9,21,15.44550002
2,9,22,15.48600002
2,9,23,15.52300002
2,9,24,15.54650002
2,9,25,15.57300002
2,9,26,15.61600002
2,9,27,15.64100002
2,9,28,15.66550002
2,9,29,15.67650002
2,9,30,15.70250002
2,10,1,9.25200001
2,10,2,12.09400001
2,10,3,13.63750002
2,10,4,14.43500002
2,10,5,15.03800002
2,10,6,15.44250002
2,10,7,15.77350002
2,10,8,16.04050002
2,10,9,16.26450002
2,10,10,16.43850002
2,10,11,16.54650002
2,10,12,16.68900002
2,10,13,16.80050002
2,10,14,16.87900002
2,10,15,16.96100002
2,10,16,17.04850002
2,10,17,17.11700002
2,10,18,17.19200002
2,10,19,17.24600002
2,10,20,17.30200002
2,10,21,17.35200002
2,10,22,17.38150002
2,10,23,17.43050002
2,10,24,17.45650002
2,10,25,17.50100002
2,10,26,17.53100002
2,10,27,17.56600002
2,10,28,17.58400002
2,10,29,17.61300002
2,10,30,17.63200002
3,2,1,1.00000001
3,2,2,1.66300002
3,2,3,2.11250002
3,2,4,2.41500002
3,2,5,2.60050003
3,2,6,2.72500003
3,2,7,2.82000003
3,2,8,2.88150003
3,2,9,2.91300003
3,2,10,2.94050003
3,2,11,2.96050003
3,2,12,2.97050004
3,2,13,2.97950004
3,2,14,2.99000004
3,2,15,2.99200004
3,2,16,2.99450004
3,2,17,2.99500004
3,2,18,2.99800004
3,2,19,2.99650004
3,2,20,2.99900004
3,2,21,2.99850004
3,2,22,2.99950004
3,2,23,2.99900004
3,2,24,2.99950004
3,2,25,3.00000004
3,2,26,2.99900004
3,2,27,2.99950004
3,2,28,2.99950004
3,2,29,3.00000004
3,2,30,3.00000004
3,3,1,2.02000001
3,3,2,2.83200001
3,3,3,3.30700002
3,3,4,3.68200002
3,3,5,4.01900002
3,3,6,4.32550002
3,3,7,4.61000002
3,3,8,4.86100003
3,3,9,5.02450003
3,3,10,5.18350003
3,3,11,5.31500003
3,3,12,5.43450003
3,3,13,5.51450003
3,3,14,5.59650003
3,3,15,5.66450003
3,3,16,5.71100003
3,3,17,5.75750003
3,3,18,5.79200003
3,3,19,5.83150003
3,3,20,5.85950003
3,3,21,5.87250003
3,3,22,5.89300003
3,3,23,5.91800003
3,3,24,5.92250003
3,3,25,5.93000004
3,3,26,5.93800004
3,3,27,5.95250004
3,3,28,5.96250004
3,3,29,5.96950004
3,3,30,5.97200004
3,4,1,3.07200001
3,4,2,4.13350001
3,4,3,4.74050002
3,4,4,5.17200002
3,4,5,5.52200002
3,4,6,5.87500002
3,4,7,6.20850002
3,4,8,6.50500002
3,4,9,6.74350002
3,4,10,6.97700002
3,4,11,7.18550003
3,4,12,7.37650003
3,4,13,7.53850003
3,4,14,7.68350003
3,4,15,7.81250003
3,4,16,7.96900003
3,4,17,8.05850003
3,4,18,8.14650003
3,4,19,8.24900003
3,4,20,8.33200003
3,4,21,8.39850003
3,4,22,8.49150003
3,4,23,8.52650003
3,4,24,8.58200003
3,4,25,8.61200003
3,4,26,8.66500003
3,4,27,8.70100003
3,4,28,8.72800003
3,4,29,8.75550003
3,4,30,8.77750003
3,5,1,4.08900001
3,5,2,5.45400001
3,5,3,6.21150002
3,5,4,6.68250002
3,5,5,7.08500002
3,5,6,7.45050002
3,5,7,7.79450002
3,5,8,8.10950002
3,5,9,8.37950002
3,5,10,8.65050002
3,5,11,8.90300002
3,5,12,9.10550002
3,5,13,9.35450002
3,5,14,9.52700002
3,5,15,9.72400003
3,5,16,9.87650003
3,5,17,10.03500003
3,5,18,10.17950003
3,5,19,10.31450003
3,5,20,10.47950003
3,5,21,10.59250003
3,5,22,10.70500003
3,5,23,10.82850003
3,5,24,10.88150003
3,5,25,10.97750003
3,5,26,11.04250003
3,5,27,11.14400003
3,5,28,11.20500003
3,5,29,11.27200003
3,5,30,11.33050003
3,6,1,5.11400001
3,6,2,6.77400001
3,6,3,7.67550002
3,6,4,8.22300002
3,6,5,8.67900002
3,6,6,9.08000002
3,6,7,9.44000002
3,6,8,9.77750002
3,6,9,10.07400002
3,6,10,10.34200002
3,6,11,10.59100002
3,6,12,10.86150002
3,6,13,11.07450002
3,6,14,11.29100002
3,6,15,11.53050002
3,6,16,11.72650002
3,6,17,11.88100002
3,6,18,12.08350002
3,6,19,12.24000003
3,6,20,12.42250003
3,6,21,12.58800003
3,6,22,12.74850003
3,6,23,12.89300003
3,6,24,13.00400003
3,6,25,13.11850003
3,6,26,13.23350003
3,6,27,13.36500003
3,6,28,13.43500003
3,6,29,13.54650003
3,6,30,13.64750003
3,7,1,6.14500001
3,7,2,8.08650001
3,7,3,9.16900002
3,7,4,9.78750002
